"Species","Evaluated/Predicted Score","Method"
"Chromis_hanui",1430.9329,"predicted"
"Chromis_hypsilepis",1462.2357,"predicted"
"Chromis_insolata",1527.3395,"predicted"
"Chromis_iomelas",1532.439,"evaluated"
"Chromis_klunzingeri",1392.2517,"predicted"
"Chromis_lepidolepis",1332.9348,"predicted"
"Chromis_limbata",1554.966,"predicted"
"Chromis_limbaughi",1652.8606,"predicted"
"Chromis_lineata",1488.8369,"predicted"
"Chromis_margaritifer",1400.8813,"predicted"
"Chromis_multilineata",1255.1018,"predicted"
"Chromis_nigrura",1498.8418,"predicted"
"Chromis_nitida",1577.246,"evaluated"
"Chromis_notata",1381.0259,"predicted"
"Chromis_opercularis",1392.4031,"predicted"
"Chromis_ovalis",1471.9316,"predicted"
"Chromis_pamae",1268.3901,"predicted"
"Chromis_pelloura",1488.4869,"predicted"
"Chromis_pembae",1373.0607,"predicted"
"Chromis_punctipinnis",1313.2485,"predicted"
"Chromis_randalli",1359.8005,"predicted"
"Chromis_retrofasciata",1550.2673,"predicted"
"Chromis_scotochiloptera",1327.1782,"predicted"
"Chromis_scotti",1670.6665,"predicted"
"Chromis_ternatensis",1392.8171,"predicted"
"Chromis_vanderbilti",1574.8824,"predicted"
"Chromis_viridis",1577.7468,"predicted"
"Chromis_weberi",1363.2003,"predicted"
"Chromis_westaustralis",1224.4741,"predicted"
"Chromis_xanthochira",1474.304,"predicted"
"Chromis_xanthura",1431.2241,"predicted"
"Chromis_xutha",1265.0094,"predicted"
"Chrysiptera_biocellata",1711.196,"predicted"
"Chrysiptera_bleekeri",1575.1881,"predicted"
"Chrysiptera_brownriggii",1695.2842,"predicted"
"Chrysiptera_caesifrons",1525.1863,"predicted"
"Chrysiptera_cyanea",1720.1917,"predicted"
"Chrysiptera_flavipinnis",1690.781,"predicted"
"Chrysiptera_galba",1506.6077,"predicted"
"Chrysiptera_glauca",1700.487,"predicted"
"Chrysiptera_hemicyanea",1770.9446,"predicted"
"Chrysiptera_notialis",1275.7078,"predicted"
"Chrysiptera_oxycephala",1534.3105,"predicted"
"Chrysiptera_parasema",1786.9438,"predicted"
"Chrysiptera_rapanui",1615.9076,"predicted"
"Chrysiptera_rex",1487.8868,"predicted"
"Chrysiptera_rollandi",1598.6364,"predicted"
"Chrysiptera_springeri",1779.6986,"predicted"
"Chrysiptera_starcki",1664.7634,"predicted"
"Chrysiptera_talboti",1419.0541,"predicted"
"Chrysiptera_taupou",1740.904,"predicted"
"Chrysiptera_traceyi",1517.4777,"predicted"
"Chrysiptera_tricincta",1528.5428,"predicted"
"Chrysiptera_unimaculata",1601.9209,"predicted"
"Chrysoblephus_cristiceps",1413.8387,"predicted"
"Chrysoblephus_gibbiceps",1501.3855,"predicted"
"Chrysoblephus_laticeps",1529.0403,"predicted"
"Cirrhilabrus_cyanopleura",1576.5432,"predicted"
"Cirrhilabrus_exquisitus",1719.0051,"predicted"
"Cirrhilabrus_flavidorsalis",1483.8676,"predicted"
"Cirrhilabrus_katherinae",1512.1885,"predicted"
"Cirrhilabrus_laboutei",1734.603,"predicted"
"Cirrhilabrus_lineatus",1768.8741,"predicted"
"Cirrhilabrus_punctatus",1610.0552,"predicted"
"Cirrhilabrus_randalli",1550.6855,"predicted"
"Cirrhilabrus_scottorum",1653.1924,"predicted"
"Cirrhilabrus_solorensis",1581.9531,"predicted"
"Cirrhilabrus_temminckii",1794.3457,"predicted"
"Cirrhilabrus_walindi",1456.5723,"predicted"
"Cirrhitichthys_aprinus",1647.0466,"predicted"
"Cirrhitichthys_falco",1815.8168,"predicted"
"Cirrhitichthys_oxycephalus",1714.1765,"predicted"
"Cirrhitops_fasciatus",1583.8391,"predicted"
"Cirrhitops_hubbardi",1529.9976,"predicted"
"Cirrhitus_pinnulatus",1580.4373,"predicted"
"Cirrhitus_rivulatus",1667.8386,"predicted"
"Cirripectes_alboapicalis",1651.94,"predicted"
"Cirripectes_alleni",1294.8464,"predicted"
"Cirripectes_auritus",1446.8828,"predicted"
"Cirripectes_castaneus",1480.9664,"predicted"
"Cirripectes_chelomatus",1454.898,"predicted"
"Cirripectes_filamentosus",1291.2462,"predicted"
"Cirripectes_fuscoguttatus",1516.4048,"predicted"
"Cirripectes_hutchinsi",1379.7031,"predicted"
"Cirripectes_polyzona",1385.6509,"predicted"
"Cirripectes_springeri",1491.6743,"predicted"
"Cirripectes_stigmaticus",1627.6919,"predicted"
"Cirripectes_vanderbilti",1370.5964,"predicted"
"Cirripectes_variolosus",1393.8269,"predicted"
"Cleidopus_gloriamaris",1748.1046,"predicted"
"Clepticus_parrae",1524.076,"evaluated"
"Clinus_latipennis",1398.6211,"predicted"
"Clinus_superciliosus",1473.8286,"predicted"
"Clinus_venustris",1504.042,"predicted"
"Cnidoglanis_macrocephalus",1299.2051,"predicted"
"Cochleoceps_bicolor",1631.1602,"predicted"
"Cochleoceps_orientalis",1577.3889,"predicted"
"Conger_verreauxi",1193.5507,"predicted"
"Congiopodus_peruvianus",1273.6992,"predicted"
"Conniella_apterygia",1653.8096,"predicted"
"Coradion_altivelis",1729.5981,"predicted"
"Coradion_chrysozonus",1691.518,"predicted"
"Coris_auricularis",1531.6936,"predicted"
"Coris_aurilineata",1566.6298,"predicted"
"Coris_aygula",1676.7007,"predicted"
"Coris_batuensis",1557.438,"evaluated"
"Coris_bulbifrons",1588.4146,"predicted"
"Coris_caudimacula",1499.5044,"predicted"
"Coris_centralis",1462.3672,"predicted"
"Coris_cuvieri",1664.9902,"predicted"
"Coris_debueni",1493.1726,"predicted"
"Coris_dorsomacula",1493.8726,"predicted"
"Coris_formosa",1706.0188,"predicted"
"Coris_gaimard",1715.1763,"predicted"
"Coris_hewetti",1741.7588,"predicted"
"Coris_julis",1514.3638,"predicted"
"Coris_picta",1476.2144,"predicted"
"Coris_pictoides",1532.074,"predicted"
"Coris_roseoviridis",1536.774,"predicted"
"Coris_sandeyeri",1577.169,"predicted"
"Coris_venusta",1554.4413,"predicted"
"Coryphopterus_alloides",1245.6616,"predicted"
"Coryphopterus_dicrus",1337.4396,"predicted"
"Coryphopterus_eidolon",1404.2017,"predicted"
"Coryphopterus_glaucofraenum",1399.3843,"predicted"
"Coryphopterus_hyalinus",1373.1053,"predicted"
"Coryphopterus_lipernes",1447.9819,"predicted"
"Coryphopterus_personatus",1452.47,"predicted"
"Coryphopterus_thrix",1352.5195,"predicted"
"Coryphopterus_tortugae",1312.948,"predicted"
"Coryphopterus_urospilus",1450.086,"predicted"
"Cratinus_agassizii",1274.3801,"predicted"
"Cremnochorites_capensis",1347.1348,"predicted"
"Crenimugil_crenilabis",1285.2031,"predicted"
"Cristiceps_aurantiacus",1449.9353,"predicted"
"Crocodilichthys_gracilis",1521.9631,"predicted"
"Cromileptes_altivelis",1655.4644,"predicted"
"Crossosalarias_macrospilus",1415.4277,"predicted"
"Cryptichthys_jojettae",1516.5901,"predicted"
"Cryptocentrus_caeruleomaculatus",1456.3419,"predicted"
"Cryptocentrus_caeruleopunctatus",1533.1528,"predicted"
"Cryptocentrus_cryptocentrus",1462.459,"predicted"
"Cryptocentrus_fasciatus",1528.8629,"predicted"
"Cryptocentrus_strigilliceps",1438.0754,"predicted"
"Ctenochaetus_binotatus",1679.6539,"predicted"
"Ctenochaetus_cyanocheilus",1612.5028,"predicted"
"Ctenochaetus_flavicauda",1579.794,"predicted"
"Ctenochaetus_hawaiiensis",1779.2467,"predicted"
"Ctenochaetus_marginatus",1720.678,"evaluated"
"Ctenochaetus_striatus",1643.4927,"predicted"
"Ctenochaetus_tominiensis",1590.978,"evaluated"
"Ctenochaetus_truncatus",1625.6959,"predicted"
"Ctenogobiops_aurocingulus",1357.9451,"predicted"
"Ctenogobiops_crocineus",1352.7316,"predicted"
"Ctenogobiops_feroculus",1333.0377,"predicted"
"Ctenogobiops_maculosus",1336.2161,"predicted"
"Ctenogobiops_mitodes",1342.1567,"predicted"
"Ctenogobiops_pomastictus",1292.0164,"predicted"
"Ctenogobiops_tangaroai",1460.7693,"predicted"
"Ctenolabrus_rupestris",1352.7357,"predicted"
"Cybiosarda_elegans",1380.7667,"predicted"
"Cyclichthys_orbicularis",1448.9158,"predicted"
"Cymatoceps_nasutus",1482.2986,"predicted"
"Cymatogaster_aggregata",1229.3945,"predicted"
"Cymbacephalus_beauforti",1372.1862,"predicted"
"Cypho_purpurascens",1647.4208,"predicted"
"Cypho_zaps",1519.6421,"predicted"
"Cyprinocirrhites_polyactis",1439.281,"evaluated"
"Dactylophora_nigricans",1432.7949,"predicted"
"Dactylopus_dactylopus",1539.7502,"predicted"
"Daector_reticulata",1333.2229,"predicted"
"Daector_schmitti",1407.1943,"predicted"
"Dascyllus_albisella",1578.4457,"predicted"
"Dascyllus_aruanus",1672.289,"evaluated"
"Dascyllus_carneus",1699.6664,"predicted"
"Dascyllus_flavicaudus",1758.3772,"predicted"
"Dascyllus_marginatus",1507.7744,"predicted"
"Dascyllus_melanurus",1650.104,"evaluated"
"Dascyllus_reticulatus",1600.134,"predicted"
"Dascyllus_strasburgi",1471.7305,"predicted"
"Dascyllus_trimaculatus",1697.983,"predicted"
"Decapterus_koheru",1318.1147,"predicted"
"Decapterus_macarellus",1191.333,"evaluated"
"Decapterus_muroadsi",1215.897,"predicted"
"Decapterus_punctatus",1282.1394,"predicted"
"Dellichthys_morelandi",1470.8888,"predicted"
"Dendrochirus_barberi",1717.6392,"predicted"
"Dendrochirus_zebra",1810.7551,"predicted"
"Dentex_dentex",1305.8176,"predicted"
"Dermatolepis_dermatolepis",1664.546,"predicted"
"Diademichthys_lineatus",1502.7002,"predicted"
"Diagramma_labiosum",1481.7095,"predicted"
"Diagramma_melanacrum",1423.6274,"predicted"
"Dialommus_fuscus",1469.0499,"predicted"
"Dicentrarchus_labrax",1239.3574,"predicted"
"Dicentrarchus_punctatus",1288.3792,"predicted"
"Dichistius_capensis",1232.489,"predicted"
"Dicotylichthys_punctulatus",1418.7455,"predicted"
"Didogobius_amicuscaridis",1384.2521,"predicted"
"Dinolestes_lewini",1311.9785,"predicted"
"Diodon_holocanthus",1621.3938,"predicted"
"Diodon_hystrix",1533.2605,"predicted"
"Diodon_liturosus",1637.7833,"predicted"
"Diodon_nicthemerus",1591.7383,"predicted"
"Diplodus_annularis",1384.3129,"predicted"
"Diplodus_argenteus",1289.7285,"predicted"
"Diplodus_capensis",1269.087,"predicted"
"Diplodus_cervinus",1494.8186,"predicted"
"Diplodus_puntazzo",1256.6431,"predicted"
"Diplodus_sargus",1304.436,"predicted"
"Diplodus_vulgaris",1475.48,"predicted"
"Diplogrammus_goramensis",1425.9304,"predicted"
"Diplogrammus_xenicus",1471.5293,"predicted"
"Diploprion_bifasciatum",1601.273,"predicted"
"Diproctacanthus_xanthurus",1434.9768,"predicted"
"Dipterygonotus_balteatus",1298.9373,"predicted"
"Dischistodus_chrysopoecilus",1342.8994,"predicted"
"Dischistodus_darwiniensis",1524.4487,"predicted"
"Dischistodus_melanotus",1496.083,"predicted"
"Dischistodus_perspicillatus",1561.591,"predicted"
"Dischistodus_prosopotaenia",1544.2551,"predicted"
"Dischistodus_pseudochrysopoecilus",1549.7007,"predicted"
"Doratonotus_megalepis",1474.6633,"predicted"
"Dotalabrus_alleni",1650.2659,"predicted"
"Dotalabrus_aurantiacus",1481.2345,"predicted"
"Dules_auriga",1455.3003,"predicted"
"Echeneis_naucrates",1475.177,"evaluated"
"Echeneis_neucratoides",1369.2236,"predicted"
"Echidna_nebulosa",1367.0525,"predicted"
"Echidna_nocturna",1430.3031,"predicted"
"Ecsenius_aequalis",1308.1255,"predicted"
"Ecsenius_alleni",1413.2799,"predicted"
"Ecsenius_bandanus",1456.404,"predicted"
"Ecsenius_bathi",1493.8381,"predicted"
"Ecsenius_bicolor",1439.082,"evaluated"
"Ecsenius_fijiensis",1379.6895,"predicted"
"Ecsenius_fourmanoiri",1533.4905,"predicted"
"Ecsenius_frontalis",1457.7252,"predicted"
"Ecsenius_gravieri",1495.3652,"predicted"
"Ecsenius_kurti",1414.847,"predicted"
"Ecsenius_lineatus",1503.697,"predicted"
"Ecsenius_lividanalis",1510.4929,"predicted"
"Ecsenius_midas",1537.4929,"predicted"
"Ecsenius_minutus",1411.4437,"predicted"
"Ecsenius_nalolo",1500.7819,"predicted"
"Ecsenius_namiyei",1421.7223,"predicted"
"Ecsenius_oculatus",1430.3439,"predicted"
"Ecsenius_prooculis",1514.2202,"predicted"
"Ecsenius_randalli",1342.404,"predicted"
"Ecsenius_schroederi",1443.1355,"predicted"
"Ecsenius_stictus",1365.0842,"predicted"
"Ecsenius_stigmatura",1596.3071,"predicted"
"Ecsenius_tigris",1433.1001,"predicted"
"Ecsenius_tricolor",1498.1287,"predicted"
"Ecsenius_trilineatus",1354.5581,"predicted"
"Ecsenius_yaeyamaensis",1376.3772,"predicted"
"Ekemblemaria_myersi",1427.6365,"predicted"
"Elacatinus_atronasus",1535.9343,"predicted"
"Elacatinus_cayman",1423.9363,"predicted"
"Elacatinus_centralis",1381.4646,"predicted"
"Elacatinus_evelynae",1522.5181,"predicted"
"Elacatinus_figaro",1571.8362,"predicted"
"Elacatinus_genie",1529.2722,"predicted"
"Elacatinus_horsti",1375.2576,"predicted"
"Elacatinus_jarocho",1538.5422,"predicted"
"Elacatinus_oceanops",1609.3235,"predicted"
"Elacatinus_prochilos",1414.6843,"predicted"
"Elacatinus_puncticulatus",1477.1077,"predicted"
"Elacatinus_randalli",1491.0468,"predicted"
"Elacatinus_xanthiprora",1518.1711,"predicted"
"Elagatis_bipinnulata",1287.1139,"predicted"
"Eleotrica_cableae",1399.824,"evaluated"
"Elops_affinis",1245.5929,"predicted"
"Embiotoca_jacksoni",1459.7788,"predicted"
"Embiotoca_lateralis",1333.3784,"predicted"
"Emblemariopsis_pricei",1398.2742,"predicted"
"Emblemariopsis_signifer",1353.842,"predicted"
"Enchelycore_lichenosa",1486.856,"predicted"
"Enchelycore_ramosa",1455.1842,"predicted"
"Engraulis_australis",1256.7041,"predicted"
"Enneanectes_carminalis",1452.6614,"predicted"
"Enneanectes_smithi",1436.1376,"predicted"
"Enneapterygius_atrogulare",1500.3936,"predicted"
"Enneapterygius_hemimelas",1464.9768,"predicted"
"Enneapterygius_kermadecensis",1432.9998,"predicted"
"Enneapterygius_larsonae",1543.7758,"predicted"
"Enneapterygius_mirabilis",1416.3958,"predicted"
"Enneapterygius_rufopileus",1488.8633,"predicted"
"Enneapterygius_similis",1590.3478,"predicted"
"Enophrys_diceraus",1315.5754,"predicted"
"Enoplosus_armatus",1805.0278,"predicted"
"Entomacrodus_chapmani",1289.3989,"predicted"
"Entomacrodus_solus",1411.0781,"predicted"
"Eocallionymus_papilio",1513.078,"predicted"
"Epibulus_brevis",1518.6019,"predicted"
"Epibulus_insidiator",1588.719,"predicted"
"Epinephelides_armatus",1428.9105,"predicted"
"Epinephelus_adscensionis",1553.2327,"predicted"
"Epinephelus_akaara",1609.5367,"predicted"
"Epinephelus_albomarginatus",1316.709,"evaluated"
"Epinephelus_analogus",1450.4487,"predicted"
"Epinephelus_areolatus",1483.201,"evaluated"
"Epinephelus_bilobatus",1331.5316,"predicted"
"Epinephelus_bleekeri",1429.1323,"predicted"
"Epinephelus_bruneus",1184.3633,"predicted"
"Epinephelus_coeruleopunctatus",1371.959,"evaluated"
"Epinephelus_coioides",1512.073,"predicted"
"Epinephelus_corallicola",1432.9934,"predicted"
"Epinephelus_costae",1519.1538,"predicted"
"Epinephelus_cyanopodus",1573.786,"evaluated"
"Epinephelus_daemelii",1255.02,"predicted"
"Epinephelus_fasciatus",1614.2666,"predicted"
"Epinephelus_fuscoguttatus",1455.0262,"predicted"
"Epinephelus_guttatus",1533.8507,"predicted"
"Epinephelus_hexagonatus",1526.3,"evaluated"
"Epinephelus_irroratus",1485.1989,"predicted"
"Epinephelus_itajara",1424.7505,"predicted"
"Epinephelus_labriformis",1495.297,"evaluated"
"Epinephelus_lanceolatus",1432.0906,"predicted"
"Epinephelus_longispinis",1328.1052,"predicted"
"Epinephelus_macrospilos",1673.699,"evaluated"
"Epinephelus_maculatus",1587.5105,"predicted"
"Epinephelus_malabaricus",1465.1499,"predicted"
"Epinephelus_marginatus",1531.0818,"predicted"
"Epinephelus_melanostigma",1488.6946,"predicted"
"Epinephelus_merra",1629.3923,"predicted"
"Epinephelus_morio",1435.0012,"predicted"
"Epinephelus_multinotatus",1463.0044,"predicted"
"Epinephelus_ongus",1838.1599,"predicted"
"Epinephelus_polyphekadion",1524.9426,"predicted"
"Epinephelus_quoyanus",1596.737,"predicted"
"Epinephelus_rivulatus",1336.9404,"predicted"
"Epinephelus_socialis",1522.3206,"predicted"
"Epinephelus_spilotoceps",1518.4255,"predicted"
"Epinephelus_striatus",1474.0066,"predicted"
"Epinephelus_tauvina",1488.9614,"predicted"
"Epinephelus_tukula",1527.5559,"predicted"
"Epinephelus_undulatostriatus",1522.8562,"predicted"
"Equetus_punctatus",1621.2922,"predicted"
"Eubalichthys_bucephalus",1438.446,"predicted"
"Eubalichthys_caeruleoguttatus",1466.854,"evaluated"
"Eubalichthys_cyanoura",1586.6053,"predicted"
"Eubalichthys_gunnii",1671.3435,"predicted"
"Eubalichthys_mosaicus",1864.4678,"predicted"
"Eucinostomus_dowii",1349.6626,"predicted"
"Eupetrichthys_angustipes",1523.56,"predicted"
"Euthynnus_affinis",1271.1025,"predicted"
"Euthynnus_lineatus",1357.8635,"predicted"
"Eutrigla_gurnardus",1347.3461,"predicted"
"Eviota_albolineata",1456.3396,"predicted"
"Eviota_atriventris",1563.3904,"predicted"
"Eviota_bifasciata",1438.8326,"predicted"
"Eviota_bimaculata",1499.1824,"predicted"
"Eviota_fasciola",1428.9513,"predicted"
"Eviota_guttata",1465.7314,"predicted"
"Eviota_hoesei",1513.8301,"predicted"
"Eviota_lachdeberei",1377.196,"predicted"
"Eviota_latifasciata",1434.6216,"predicted"
"Eviota_melasma",1489.1619,"predicted"
"Eviota_mikiae",1392.4844,"predicted"
"Eviota_nigriventris",1481.0951,"predicted"
"Eviota_pellucida",1535.4658,"predicted"
"Eviota_prasites",1459.9939,"predicted"
"Eviota_raja",1530.7578,"predicted"
"Eviota_readerae",1466.0001,"predicted"
"Eviota_rubriceps",1370.3354,"predicted"
"Eviota_sebreei",1472.2338,"predicted"
"Eviota_sigillata",1532.7605,"predicted"
"Eviota_storthynx",1461.5828,"predicted"
"Eviota_zebrina",1430.6218,"predicted"
"Evistias_acutirostris",1724.0801,"predicted"
"Evynnis_cardinalis",1476.5156,"predicted"
"Exallias_brevis",1721.994,"evaluated"
"Exyrias_belissimus",1442.0602,"predicted"
"Favonigobius_lateralis",1432.0878,"predicted"
"Foetorepus_calauropomus",1288.0923,"predicted"
"Forcipiger_flavissimus",1700.8337,"predicted"
"Forcipiger_longirostris",1713.07880275742,"evaluated"
"Forsterygion_capito",1363.0658,"predicted"
"Forsterygion_flavonigrum",1498.2262,"predicted"
"Forsterygion_gymnotum",1436.4839,"predicted"
"Forsterygion_lapillum",1368.5874,"predicted"
"Forsterygion_malcolmi",1442.853,"predicted"
"Forsterygion_maryannae",1417.2228,"predicted"
"Forsterygion_varium",1429.6405,"predicted"
"Furcina_osimae",1403.3998,"predicted"
"Fusigobius_duospilus",1397.3569,"predicted"
"Fusigobius_inframaculatus",1534.5493,"predicted"
"Fusigobius_melacron",1388.7498,"predicted"
"Fusigobius_neophytus",1385.011,"predicted"
"Fusigobius_signipinnis",1400.775,"predicted"
"Gadus_morhua",1345.4694,"predicted"
"Gasterosteus_aculeatus",1384.4116,"predicted"
"Genicanthus_caudovittatus",1569.1605,"predicted"
"Genicanthus_lamarck",1639.5571,"predicted"
"Genicanthus_semicinctus",1742.0023,"predicted"
"Genicanthus_watanabei",1832.4312,"predicted"
"Genypterus_tigerinus",1271.0592,"predicted"
"Gerres_cinereus",1242.4567,"predicted"
"Gerres_equulus",1172.6323,"predicted"
"Gerres_subfasciatus",1228.948,"evaluated"
"Gillellus_chathamensis",1364.5046,"predicted"
"Girella_cyanea",1592.6616,"predicted"
"Girella_elevata",1272.6033,"predicted"
"Girella_fimbriata",1382.026,"predicted"
"Girella_freminvillii",1378.266,"predicted"
"Girella_nigricans",1505.8132,"predicted"
"Girella_punctata",1335.9788,"predicted"
"Girella_simplicidens",1398.4581,"predicted"
"Girella_tephraeops",1216.9907,"predicted"
"Girella_tricuspidata",1337.4456,"predicted"
"Girella_zebra",1437.5386,"predicted"
"Glaucosoma_hebraicum",1482.9265,"predicted"
"Glaucosoma_magnificum",1512.3086,"predicted"
"Glaucosoma_scapulare",1224.406,"predicted"
"Glyptoparus_delicatulus",1320.0598,"predicted"
"Gnathanacanthus_goetzeei",1422.8292,"predicted"
"Gnathanodon_speciosus",1505.9214,"predicted"
"Gnathodentex_aureolineatus",1370.052,"evaluated"
"Gnatholepis_anjerensis",1404.853,"predicted"
"Gnatholepis_cauerensis",1387.2441,"predicted"
"Gnatholepis_thompsoni",1382.5203,"predicted"
"Gobiesox_woodsi",1331.2037,"predicted"
"Gobioclinus_dendriticus",1549.0735,"predicted"
"Gobiodon_citrinus",1593.0614,"predicted"
"Gobiodon_heterospilos",1508.9976,"predicted"
"Gobiodon_histrio",1641.8518,"predicted"
"Gobiodon_okinawae",1543.925,"evaluated"
"Gobiodon_quinquestrigatus",1399.1409,"predicted"
"Gobiodon_spilophthalmus",1369.0718,"predicted"
"Gobiosoma_hildebrandi",1339.8525,"predicted"
"Gobiosoma_spilotum",1289.6226,"predicted"
"Gobius_bucchichi",1375.5627,"predicted"
"Gobius_cruentatus",1449.9535,"predicted"
"Gobius_fallax",1420.9318,"predicted"
"Gobius_niger",1477.2942,"predicted"
"Gobius_paganellus",1435.9708,"predicted"
"Gobius_tetrophthalmus",1356.3689,"predicted"
"Gobius_xanthocephalus",1428.5481,"predicted"
"Gobiusculus_flavescens",1487.2676,"predicted"
"Gomphosus_caeruleus",1628.4413,"predicted"
"Gomphosus_varius",1640.8254,"predicted"
"Gorgasia_galzini",1405.275,"predicted"
"Gracila_albomarginata",1522.2935,"predicted"
"Gramma_brasiliensis",1542.9305,"predicted"
"Gramma_loreto",1595.2471,"predicted"
"Grammatorcynus_bicarinatus",1216.4054,"predicted"
"Grammatorcynus_bilineatus",1250.747,"evaluated"
"Grammistes_sexlineatus",1693.5726,"predicted"
"Gunnellichthys_monostigma",1376.8942,"predicted"
"Gymnocaesio_gymnoptera",1371.81,"predicted"
"Gymnocanthus_tricuspis",1444.0964,"predicted"
"Gymnoclinus_cristulatus",1392.0797,"predicted"
"Gymnocranius_audleyi",1303.4299,"predicted"
"Gymnocranius_euanus",1490.3774,"predicted"
"Gymnocranius_microdon",1322.0438,"predicted"
"Gymnocrotaphus_curvidens",1506.8757,"predicted"
"Gymnomuraena_zebra",1448.1943,"predicted"
"Gymnosarda_unicolor",1222.6472,"predicted"
"Gymnothorax_annasona",1425.281,"predicted"
"Gymnothorax_breedeni",1336.6256,"predicted"
"Gymnothorax_castaneus",1314.158,"predicted"
"Gymnothorax_cribroris",1301.2788,"predicted"
"Gymnothorax_dovii",1396.1815,"predicted"
"Gymnothorax_eurostus",1499.2383,"predicted"
"Gymnothorax_favagineus",1548.3063,"predicted"
"Gymnothorax_fimbriatus",1445.7822,"predicted"
"Gymnothorax_flavimarginatus",1361.8887,"predicted"
"Gymnothorax_funebris",1486.7515,"predicted"
"Gymnothorax_javanicus",1471.7407,"predicted"
"Gymnothorax_meleagris",1482.0667,"predicted"
"Gymnothorax_miliaris",1422.5808,"predicted"
"Gymnothorax_moringa",1485.3367,"predicted"
"Gymnothorax_nubilus",1345.4431,"predicted"
"Gymnothorax_obesus",1182.732,"predicted"
"Gymnothorax_panamensis",1312.4912,"predicted"
"Gymnothorax_pictus",1477.9001,"predicted"
"Gymnothorax_porphyreus",1411.4214,"predicted"
"Gymnothorax_prasinus",1354.7727,"predicted"
"Gymnothorax_prionodon",1404.2274,"predicted"
"Gymnothorax_thyrsoideus",1401.3224,"predicted"
"Gymnothorax_undulatus",1434.6472,"predicted"
"Gymnothorax_zonipectis",1385.6506,"predicted"
"Haemulon_album",1181.924,"evaluated"
"Haemulon_aurolineatum",1360.7946,"predicted"
"Haemulon_carbonarium",1490.5232,"predicted"
"Haemulon_chrysargyreum",1591.0193,"predicted"
"Haemulon_flaviguttatum",1302.1759,"predicted"
"Haemulon_flavolineatum",1605.5559,"predicted"
"Haemulon_macrostomum",1370.5515,"predicted"
"Haemulon_maculicauda",1388.4026,"predicted"
"Haemulon_melanurum",1465.197,"predicted"
"Haemulon_parra",1290.508,"evaluated"
"Haemulon_plumierii",1609.0344,"predicted"
"Haemulon_sciurus",1593.7285,"predicted"
"Haemulon_scudderii",1240.3186,"predicted"
"Haemulon_sexfasciatum",1388.5388,"predicted"
"Haemulon_steindachneri",1309.5645,"predicted"
"Haemulon_vittatum",1538.5422,"predicted"
"Haletta_semifasciata",1368.6942,"predicted"
"Halichoeres_adustus",1518.7233,"predicted"
"Halichoeres_argus",1546.5823,"predicted"
"Halichoeres_biocellatus",1599.2837,"predicted"
"Halichoeres_bivittatus",1549.2897,"predicted"
"Halichoeres_brasiliensis",1550.1167,"predicted"
"Halichoeres_brownfieldi",1492.967,"predicted"
"Halichoeres_burekae",1625.4373,"predicted"
"Halichoeres_chierchiae",1559.924,"evaluated"
"Halichoeres_chloropterus",1530.823,"evaluated"
"Halichoeres_chrysus",1539.86,"evaluated"
"Halichoeres_cosmetus",1605.56786683316,"evaluated"
"Halichoeres_dimidiatus",1510.276,"evaluated"
"Halichoeres_discolor",1589.5515,"predicted"
"Halichoeres_dispilus",1640.2167,"predicted"
"Halichoeres_erdmanni",1432.0289,"predicted"
"Halichoeres_garnoti",1710.5933,"predicted"
"Halichoeres_hartzfeldii",1623.6328,"predicted"
"Halichoeres_hortulanus",1620.546,"evaluated"
"Halichoeres_insularis",1482.1721,"predicted"
"Halichoeres_iridis",1536.1338,"predicted"
"Halichoeres_leucoxanthus",1480.5044,"predicted"
"Halichoeres_leucurus",1680.5244,"predicted"
"Halichoeres_maculipinna",1539.3064,"predicted"
"Halichoeres_malpelo",1363.2255,"predicted"
"Halichoeres_margaritaceus",1509.2322,"predicted"
"Halichoeres_marginatus",1729.909,"evaluated"
"Halichoeres_melanochir",1606.4205,"predicted"
"Halichoeres_melanurus",1781.5284,"predicted"
"Halichoeres_melasmapomus",1570.8926,"predicted"
"Halichoeres_miniatus",1506.6526,"predicted"
"Halichoeres_nebulosus",1457.5676,"predicted"
"Halichoeres_nicholsi",1583.4191,"predicted"
"Halichoeres_nigrescens",1453.365,"predicted"
"Halichoeres_notospilus",1459.405,"evaluated"
"Halichoeres_orientalis",1648.972,"predicted"
"Halichoeres_ornatissimus",1675.9299,"predicted"
"Halichoeres_pictus",1611.234,"predicted"
"Halichoeres_poeyi",1538.8071,"predicted"
"Halichoeres_prosopeion",1567.4265,"predicted"
"Halichoeres_radiatus",1669.5107,"predicted"
"Halichoeres_richmondi",1769.2888,"predicted"
"Halichoeres_salmofasciatus",1492.8469,"predicted"
"Halichoeres_scapularis",1628.8328,"predicted"
"Halichoeres_semicinctus",1441.4534,"predicted"
"Halichoeres_socialis",1565.5228,"predicted"
"Halichoeres_solorensis",1417.1951,"predicted"
"Halichoeres_tenuispinis",1497.4512,"predicted"
"Halichoeres_timorensis",1507.0901,"predicted"
"Halichoeres_trimaculatus",1431.3328,"predicted"
"Halichoeres_trispilus",1394.791,"predicted"
"Helcogramma_chica",1355.0112,"predicted"
"Helcogramma_decurrens",1440.6028,"predicted"
"Helcogramma_maldivensis",1540.4526,"predicted"
"Helcogramma_striata",1473.1293,"predicted"
"Helcogrammoides_cunninghami",1419.2678,"predicted"
